City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Nizhnyaya Tavda,RU,57.6731,66.1725,4.51,95,100,6.76,overcast clouds
230,Surman,LY,32.7567,12.5716,53.62,71,6,2.59,clear sky
231,Lucapa,AO,-8.4192,20.7447,66.88,92,100,2.57,overcast clouds
232,Namatanai,PG,-3.6667,152.4333,85.96,66,62,6.71,broken clouds
233,Dikson,RU,73.5069,80.5464,22.03,95,100,18.28,light snow
234,Geraldton,AU,-28.7667,114.6,81.01,44,0,8.05,clear sky
235,Portland,US,45.5234,-122.6762,50.58,71,100,6.91,overcast clouds
236,Iquitos,PE,-3.7481,-73.2472,77.04,88,40,2.3,scattered clouds
237,Da Nang,VN,16.0678,108.2208,75.18,69,20,1.14,few clouds
238,Pestravka,RU,52.405,49.9583,13.06,96,100,5.53,light snow
239,Sinnamary,GF,5.3833,-52.95,75.02,88,28,8.46,scattered clouds
240,Gweru,ZW,-19.45,29.8167,63.9,96,100,0.43,overcast clouds
241,Sitka,US,57.0531,-135.33,37.29,87,100,6.91,moderate rain
242,Green River,US,41.5286,-109.4662,21.6,66,98,5.99,overcast clouds
243,Alenquer,BR,-1.9417,-54.7383,73.8,95,100,2.64,light rain
244,Korla,CN,41.7597,86.1469,32.04,39,100,13.82,overcast clouds
245,Chekhov,RU,55.1431,37.4711,12.15,96,82,7.2,broken clouds
246,Flin Flon,CA,54.7682,-101.865,-9.96,100,99,3.38,overcast clouds
247,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,0,2.3,clear sky
248,Cesme,TR,38.3228,26.3064,56.14,69,95,11.43,overcast clouds
249,Halifax,CA,44.6453,-63.5724,33.8,94,100,14.97,light snow
250,Chokurdakh,RU,70.6333,147.9167,-43.87,100,71,0.92,broken clouds
251,Christchurch,NZ,-43.5333,172.6333,73.42,59,100,14.97,overcast clouds
252,Cavalcante,BR,-13.7975,-47.4583,68.34,89,100,2.46,overcast clouds
253,San Cristobal,VE,7.7669,-72.225,68.18,94,80,2.08,broken clouds
254,Malartic,CA,48.1335,-78.1328,-12.33,100,88,3.4,overcast clouds
255,Khovu-Aksy,RU,51.1333,93.6,-2.31,85,10,4.56,clear sky
256,Laibin,CN,23.7,109.2667,64.62,79,100,1.99,overcast clouds
257,San Juan,AR,-31.5375,-68.5364,55.87,19,1,7.7,clear sky
258,Lakes Entrance,AU,-37.8811,147.981,79.16,60,35,12.57,scattered clouds
259,Bandiagara,ML,14.3501,-3.6104,69.53,14,0,11.59,clear sky
260,Zhaotong,CN,27.3167,103.7167,42.71,73,42,7.05,scattered clouds
261,Rocha,UY,-34.4833,-54.3333,52.72,86,97,17.67,overcast clouds
262,Hamilton,US,39.1834,-84.5333,30.83,67,100,10.36,overcast clouds
263,Saint-Pierre,RE,-21.3393,55.4781,76.68,73,0,5.75,clear sky
264,Chuy,UY,-33.6971,-53.4616,54.09,73,49,14.72,scattered clouds
265,Matagami,CA,49.7502,-77.6328,-9.29,84,0,4.61,clear sky
266,Varkaus,FI,62.3153,27.873,26.31,93,100,12.62,light snow
267,Rock Springs,US,41.5875,-109.2029,20.64,68,0,5.75,clear sky
268,Severnyy,RU,50.677,36.5532,14.04,92,75,11.01,broken clouds
269,Tsaratanana,MG,-16.7833,47.65,73.22,93,100,1.16,light rain
270,Santa Fe,AR,-31.6333,-60.7,58.01,61,2,8.01,clear sky
271,Copiapo,CL,-27.3667,-70.3333,64.09,68,0,3.0,clear sky
272,Huilong,CN,31.8111,121.655,49.93,76,37,3.11,scattered clouds
273,Santa Rita,BR,-7.1139,-34.9781,81.27,78,20,4.61,few clouds
274,Matara,LK,5.9485,80.5353,75.2,85,21,3.2,few clouds
275,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.05,90,100,19.37,overcast clouds
276,Alofi,NU,-19.0595,-169.9187,81.75,75,37,8.01,scattered clouds
277,Port Lincoln,AU,-34.7333,135.8667,71.37,52,0,10.76,clear sky
278,Ancud,CL,-41.8697,-73.8203,51.39,63,2,4.07,clear sky
279,Norman Wells,CA,65.282,-126.8329,-18.76,98,58,3.15,broken clouds
280,Cidreira,BR,-30.1811,-50.2056,66.09,42,3,13.91,clear sky
281,Mandalgovi,MN,45.7625,106.2708,9.81,48,1,17.29,clear sky
282,Quzhou,CN,28.9594,118.8686,60.42,65,63,0.36,broken clouds
283,Banda Aceh,ID,5.5577,95.3222,80.29,77,51,8.34,broken clouds
284,Griffith,US,41.5284,-87.4237,23.31,77,0,11.5,clear sky
285,Mildura,AU,-34.2,142.15,82.08,31,1,17.6,clear sky
286,Tay Ninh,VN,11.3,106.1,82.63,54,77,4.29,broken clouds
287,Isangel,VU,-19.55,169.2667,79.86,72,71,15.03,broken clouds
288,Les Escoumins,CA,48.1111,-69.0236,0.01,85,27,8.05,scattered clouds
289,Asau,RO,46.4333,26.4,45.52,88,100,14.25,overcast clouds
290,Churapcha,RU,62.0025,132.4325,-11.94,95,98,3.78,overcast clouds
291,Kutum,SD,14.2,24.6667,51.57,26,0,9.73,clear sky
292,Rogovatoye,RU,51.23,38.3818,-1.73,100,98,4.61,overcast clouds
293,Kidal,ML,18.4411,1.4078,63.34,18,77,10.63,broken clouds
294,Moses Lake,US,47.1301,-119.2781,44.96,57,40,0.0,scattered clouds
295,Souillac,MU,-20.5167,57.5167,75.51,81,86,5.93,overcast clouds
296,Libenge,CD,3.65,18.6333,70.83,35,100,4.32,overcast clouds
297,Sucua,EC,-2.4667,-78.1667,68.92,98,64,2.75,light rain
298,Touros,BR,-5.1989,-35.4608,79.88,74,100,11.52,overcast clouds
299,Waddan,LY,29.1614,16.139,48.09,69,0,6.29,clear sky
300,Mwene-Ditu,CD,-7.0,23.45,65.73,95,100,3.4,overcast clouds
301,Udachnyy,RU,66.4167,112.4,-8.14,97,100,6.58,overcast clouds
302,Isla Mujeres,MX,21.2311,-86.731,77.16,81,0,10.71,clear sky
303,Saint-Paul,RE,-21.0096,55.2707,77.11,79,37,3.0,scattered clouds
304,Bambous Virieux,MU,-20.3428,57.7575,73.22,88,20,3.44,few clouds
305,Dingle,PH,10.9995,122.6711,76.24,90,100,13.09,moderate rain
306,Shebunino,RU,46.4339,141.8603,32.18,71,93,10.98,overcast clouds
307,Baracoa,CU,20.3467,-74.4958,75.24,77,41,10.67,scattered clouds
308,Wattegama,LK,6.7989,81.4808,75.7,80,88,4.72,overcast clouds
309,Chipinge,ZW,-20.1883,32.6236,66.07,98,100,7.54,moderate rain
310,Suoyarvi,RU,62.0833,32.35,20.41,93,100,9.71,overcast clouds
311,Huarmey,PE,-10.0681,-78.1522,76.37,74,95,4.25,overcast clouds
312,Manadhoo,MV,5.7667,73.3833,79.09,69,60,11.41,broken clouds
313,Bajil,YE,15.0584,43.2851,73.9,83,5,3.0,clear sky
314,Cravo Norte,CO,6.3017,-70.2041,80.67,37,12,6.31,few clouds
315,Lincoln,US,40.8,-96.667,34.29,69,5,3.0,clear sky
316,Dongsheng,CN,39.8161,109.9776,20.73,71,5,29.24,clear sky
317,Ahuimanu,US,21.4447,-157.8378,71.31,94,75,3.44,light rain
318,Jinji,CN,23.2281,110.8261,70.2,62,31,2.86,scattered clouds
319,Ixtapa,MX,20.7,-105.2,72.63,78,0,6.91,clear sky
320,Eirunepe,BR,-6.6603,-69.8736,73.06,98,100,2.89,overcast clouds
321,Ushtobe,KZ,45.2514,77.9838,29.39,98,100,8.68,snow
322,Cayenne,GF,4.9333,-52.3333,75.24,94,40,2.3,scattered clouds
323,Hokitika,NZ,-42.7167,170.9667,69.15,66,97,9.37,overcast clouds
324,Salalah,OM,17.0151,54.0924,71.24,41,0,2.01,clear sky
325,La Rioja,ES,42.25,-2.5,22.78,45,1,5.99,clear sky
326,Heihe,CN,50.2441,127.4902,9.18,79,88,7.4,overcast clouds
327,Umm Lajj,SA,25.0213,37.2685,69.64,33,56,12.33,broken clouds
328,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,85,0,5.01,clear sky
329,Midland,US,31.9974,-102.0779,43.47,27,0,6.91,clear sky
330,Caxito,AO,-8.5785,13.6643,74.66,94,100,2.75,overcast clouds
331,Deputatskiy,RU,69.3,139.9,-25.67,87,100,2.62,overcast clouds
332,Paamiut,GL,61.994,-49.6678,35.46,52,100,29.62,overcast clouds
333,Ust-Nera,RU,64.5667,143.2,-30.91,96,70,3.53,broken clouds
334,Ellisras,ZA,-23.6649,27.7443,69.78,81,100,8.79,overcast clouds
335,Karratha,AU,-20.7377,116.8463,90.75,51,0,9.82,clear sky
336,Cairns,AU,-16.9167,145.7667,84.15,79,40,5.75,scattered clouds
337,Tautira,PF,-17.7333,-149.15,79.81,75,100,5.84,light rain
338,Glendive,US,47.1053,-104.7125,35.22,64,0,11.5,clear sky
339,Sala,MA,34.0389,-6.8166,56.64,93,75,3.44,broken clouds
340,Houma,US,29.5958,-90.7195,48.2,65,67,5.99,broken clouds
341,Broome,US,42.2506,-75.833,25.86,84,100,17.27,overcast clouds
342,Pemangkat,ID,1.1667,108.9667,80.69,81,99,5.73,overcast clouds
343,Akyab,MM,20.15,92.9,68.31,53,0,5.86,clear sky
344,Berezovyy,RU,51.6667,135.7,9.12,86,100,1.48,overcast clouds
345,Raga,SS,8.4596,25.678,67.12,20,6,7.09,clear sky
346,Alta Floresta,BR,-9.8756,-56.0861,71.17,99,98,4.36,overcast clouds
347,Vostok,RU,46.4856,135.8833,15.76,75,89,6.17,overcast clouds
