City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Russell,US,2023-02-02 12:05:39,32.3502,-85.1999,56.8,94,100,0.0
122,Ushuaia,AR,2023-02-02 12:02:53,-54.8,-68.3,54.79,82,98,5.77
123,Cabo San Lucas,MX,2023-02-02 12:04:06,22.8909,-109.9124,61.52,74,76,6.96
124,Lorengau,PG,2023-02-02 12:05:40,-2.0226,147.2712,81.7,78,69,5.73
125,Vao,NC,2023-02-02 12:05:40,-22.6667,167.4833,79.59,81,61,8.95
126,Te Anau,NZ,2023-02-02 12:05:41,-45.4167,167.7167,61.05,98,100,1.41
127,Talnakh,RU,2023-02-02 12:05:41,69.4865,88.3972,11.21,96,100,9.37
128,Mar Del Plata,AR,2023-02-02 12:05:03,-38.0023,-57.5575,71.94,85,100,11.5
129,Sakakah,SA,2023-02-02 12:02:25,29.9697,40.2064,58.57,34,4,16.22
130,Naze,JP,2023-02-02 12:05:41,28.3667,129.4833,56.32,67,30,10.94
131,Fort Nelson,CA,2023-02-02 12:00:47,58.8053,-122.7002,-14.06,81,75,3.44
132,Launceston,AU,2023-02-02 12:05:42,-41.45,147.1667,50.61,90,100,5.75
133,Mahebourg,MU,2023-02-02 12:06:42,-20.4081,57.7,86.25,75,23,11.59
134,Praya,CV,2023-02-02 12:02:59,14.9215,-23.5087,73.94,60,20,21.85
135,Ust-Ishim,RU,2023-02-02 12:06:43,57.6935,71.1665,14.54,98,65,2.48
136,Maldonado,UY,2023-02-02 12:06:43,-34.6667,-54.9167,74.59,61,99,4.18
137,Mangan,IN,2023-02-02 12:06:43,27.5167,88.5333,59.43,74,1,1.54
138,Voh,NC,2023-02-02 12:06:44,-20.9667,164.7,76.44,79,68,4.05
139,Surin,TH,2023-02-02 12:06:44,14.8818,103.4936,87.42,45,84,2.04
140,Worland,US,2023-02-02 12:06:44,44.0169,-107.9554,13.35,84,0,3.44
141,Storforshei,NO,2023-02-02 12:06:45,66.4043,14.5233,10.65,78,0,0.0
142,Tuxpan,MX,2023-02-02 12:06:45,19.55,-103.4,54.0,68,35,3.38
143,Rawlins,US,2023-02-02 12:06:45,41.7911,-107.2387,22.89,58,0,21.85
144,Newcastle,AU,2023-02-02 12:06:46,-32.9272,151.7765,76.77,84,3,10.36
145,Kenai,US,2023-02-02 12:06:46,60.5544,-151.2583,27.14,95,100,0.0
146,Taki,IN,2023-02-02 12:06:46,22.5861,88.9214,76.95,24,52,7.11
147,Richards Bay,ZA,2023-02-02 12:06:47,-28.783,32.0377,77.72,75,99,5.17
